record_id,source_row,title,author,user_rating,reviews,price,year,genre,is_zero_price,is_price_outlier,is_review_outlier,is_rating_outlier,is_title_year_duplicate,is_truncated_text,rating_band,price_band,engagement_segment,review_log10,years_on_list,first_year,last_year
13,13,A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011,Non Fiction,False,True,False,False,False,False,Strong (4.5–4.7),Premium ($21+),Developing,3.617943434828973,1,2011,2011
14,14,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,2018,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Developing,3.7120601424610746,1,2018,2018
15,15,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,17,2009,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Developing,3.7000977046130537,1,2009,2009
16,16,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2313,4,2016,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Developing,3.3641756327706194,1,2016,2016
17,17,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6,2015,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Developing,3.466125870418199,1,2015,2015
18,18,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6,2015,Non Fiction,False,False,False,False,False,False,Solid (4.0–4.4),Budget ($1–10),Developing,3.4699692094999595,1,2015,2015
19,19,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,2426,8,2015,Non Fiction,False,False,False,False,False,True,Strong (4.5–4.7),Budget ($1–10),Developing,3.3848907965305544,1,2015,2015
20,20,Alexander Hamilton,Ron Chernow,4.8,9198,13,2016,Non Fiction,False,False,False,False,False,False,Exceptional (4.8+),Mid-range ($11–20),Stars,3.963693405238019,1,2016,2016
21,21,All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2014,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Popular but polarizing,4.560480519380481,2,2014,2015
22,22,All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2015,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Popular but polarizing,4.560480519380481,2,2014,2015
23,23,Allegiant,Veronica Roth,3.9,6310,13,2013,Fiction,False,False,False,True,False,False,Below 4.0,Mid-range ($11–20),Developing,3.8000293592441343,1,2013,2013
24,24,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9,2015,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Popular but polarizing,4.201970342349048,1,2015,2015
25,25,And the Mountains Echoed,Khaled Hosseini,4.3,12159,13,2013,Fiction,False,False,False,False,False,False,Solid (4.0–4.4),Mid-range ($11–20),Popular but polarizing,4.084897858461355,1,2013,2013
26,26,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5,2009,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Developing,2.9020028913507296,1,2009,2009
27,27,Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,2017,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Stars,3.9719249491841913,1,2017,2017
28,28,"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14,2010,Non Fiction,False,False,False,False,False,False,Solid (4.0–4.4),Mid-range ($11–20),Developing,2.6910814921229687,1,2010,2010
29,29,Baby Touch and Feel: Animals,DK,4.6,5360,5,2015,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Developing,3.72916478969277,1,2015,2015
30,30,Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11,2015,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Developing,3.280805928393667,1,2015,2015
31,31,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,2012,Non Fiction,False,False,False,False,False,False,Exceptional (4.8+),Premium ($21+),Loved niche,3.1126050015345745,1,2012,2012
32,32,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21,2010,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Premium ($21+),Loved niche,2.788875115775417,1,2010,2010
33,33,Becoming,Michelle Obama,4.8,61133,11,2018,Non Fiction,False,False,True,False,False,False,Exceptional (4.8+),Mid-range ($11–20),Stars,4.786275708589989,2,2018,2019
34,34,Becoming,Michelle Obama,4.8,61133,11,2019,Non Fiction,False,False,True,False,False,False,Exceptional (4.8+),Mid-range ($11–20),Stars,4.786275708589989,2,2018,2019
35,35,Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15,2015,Non Fiction,False,False,False,False,False,False,Exceptional (4.8+),Mid-range ($11–20),Stars,4.045831314347755,1,2015,2015
36,36,Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2015,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Stars,4.003029470553618,2,2015,2016
37,37,Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,2016,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Stars,4.003029470553618,2,2015,2016
38,38,Born to Run,Bruce Springsteen,4.7,3729,18,2016,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Loved niche,3.571592383361307,1,2016,2016
39,39,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,13,2009,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Popular but polarizing,3.9898501096031804,1,2009,2009
40,40,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,8,2010,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Developing,2.673020907128896,1,2010,2010
41,41,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2017,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Stars,4.156670276554126,2,2017,2019
42,42,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Stars,4.156670276554126,2,2017,2019
43,43,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,2011,Fiction,True,False,False,False,False,False,Exceptional (4.8+),Zero / verify,Loved niche,3.6536947953150816,1,2011,2011
44,44,Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,4,2016,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Popular but polarizing,4.01573687447745,1,2016,2016
45,45,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18,2019,Non Fiction,False,False,False,False,False,False,Exceptional (4.8+),Mid-range ($11–20),Stars,4.210692980817999,1,2019,2019
46,46,Capital in the Twenty First Century,Thomas Piketty,4.5,2884,28,2014,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Premium ($21+),Developing,3.4599952560473914,1,2014,2014
47,47,Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2010,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Stars,4.354377387833249,3,2010,2012
48,48,Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2011,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Stars,4.354377387833249,3,2010,2012
49,49,Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2012,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Stars,4.354377387833249,3,2010,2012
50,50,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,16,2016,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Loved niche,3.6776981814745104,1,2016,2016
51,51,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2009,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Loved niche,3.188084373714938,3,2009,2011
52,52,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2010,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Loved niche,3.188084373714938,3,2009,2011
53,53,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,2011,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Loved niche,3.188084373714938,3,2009,2011
54,54,Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,8,2018,Fiction,False,False,False,False,False,False,Solid (4.0–4.4),Budget ($1–10),Developing,3.788380515319563,1,2018,2018
55,55,Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,4,2015,Non Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Loved niche,3.6044420662607233,1,2015,2015
56,56,Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,5,2015,Non Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Loved niche,3.5878231713189552,1,2015,2015
57,57,Cutting for Stone,Abraham Verghese,4.6,4866,11,2010,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Developing,3.6871721045948,2,2010,2011
58,58,Cutting for Stone,Abraham Verghese,4.6,4866,11,2011,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Developing,3.6871721045948,2,2010,2011
59,59,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,10,2013,Non Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Loved niche,3.123524980942732,1,2013,2013
60,60,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,13,2013,Non Fiction,False,False,False,False,False,False,Solid (4.0–4.4),Mid-range ($11–20),Developing,3.666705136119899,1,2013,2013
61,61,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4,2009,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Developing,3.1878026387184195,1,2009,2009
62,62,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8,2010,Fiction,False,False,False,False,False,False,Solid (4.0–4.4),Budget ($1–10),Developing,3.284205067701794,1,2010,2010
63,63,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,4,2011,Fiction,False,False,False,False,False,False,Solid (4.0–4.4),Budget ($1–10),Developing,3.3209766773428235,1,2011,2011
64,64,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2015,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Stars,4.038302172199525,4,2015,2018
65,65,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2016,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Stars,4.038302172199525,4,2015,2018
66,66,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2017,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Stars,4.038302172199525,4,2015,2018
67,67,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922,5,2018,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Stars,4.038302172199525,4,2015,2018
68,68,Decision Points,George W. Bush,4.6,2137,17,2010,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Developing,3.3298045221640695,1,2010,2010
69,69,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,15,2010,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Developing,3.2177470732627937,1,2010,2010
70,70,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2013,Non Fiction,False,True,False,False,False,False,Strong (4.5–4.7),Premium ($21+),Developing,3.8247114434647345,2,2013,2014
71,71,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2014,Non Fiction,False,True,False,False,False,False,Strong (4.5–4.7),Premium ($21+),Developing,3.8247114434647345,2,2013,2014
72,72,"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,2013,Fiction,True,False,False,False,False,False,Exceptional (4.8+),Zero / verify,Loved niche,3.8332746392905634,1,2013,2013
73,73,Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,2009,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Mid-range ($11–20),Loved niche,3.5839917991983166,1,2009,2009
74,74,Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,22,2014,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Premium ($21+),Loved niche,3.815577748324267,1,2014,2014
75,75,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5,2019,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Developing,3.9006401839826004,1,2019,2019
76,76,Divergent,Veronica Roth,4.6,27098,15,2013,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Popular but polarizing,4.432937238438368,2,2013,2014
77,77,Divergent,Veronica Roth,4.6,27098,15,2014,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Popular but polarizing,4.432937238438368,2,2013,2014
78,78,Divergent / Insurgent,Veronica Roth,4.5,17684,6,2014,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Popular but polarizing,4.247580506233836,1,2014,2014
79,79,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,6,2009,Non Fiction,False,False,False,False,False,True,Strong (4.5–4.7),Budget ($1–10),Developing,1.568201724066995,1,2009,2009
80,80,Doctor Sleep: A Novel,Stephen King,4.7,15845,13,2013,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Stars,4.199892243526319,1,2013,2013
81,81,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,2009,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Mid-range ($11–20),Loved niche,3.502563669107363,1,2009,2009
82,82,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6,2018,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Loved niche,3.7043221408222355,1,2018,2018
83,83,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8,2017,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Loved niche,3.6799726942774185,1,2017,2017
84,84,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2018,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Loved niche,3.859438535455056,2,2018,2019
85,85,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2019,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Loved niche,3.859438535455056,2,2018,2019
86,86,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,2019,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Stars,4.101024940352695,1,2019,2019
87,87,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,2019,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Stars,3.958516103423041,1,2019,2019
88,88,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6,2018,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Loved niche,3.737987326333431,1,2018,2018
89,89,Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118,20,2016,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Mid-range ($11–20),Loved niche,3.7091002815511667,1,2016,2016
90,90,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5,2015,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Developing,3.329194415088451,1,2015,2015
91,91,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16,2010,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Developing,3.40226138245468,1,2010,2010
92,92,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1,2009,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Developing,2.8573324964312685,1,2009,2009
93,93,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,14,2009,Non Fiction,False,False,False,False,False,False,Solid (4.0–4.4),Mid-range ($11–20),Developing,2.9804578922761,1,2009,2009
94,94,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2011,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Developing,3.8025000677643934,2,2011,2012
95,95,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2012,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Developing,3.8025000677643934,2,2011,2012
96,96,Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7,2009,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Loved niche,3.7407573233077707,1,2009,2009
97,97,Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,2009,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Loved niche,3.7407573233077707,1,2009,2009
98,98,Educated: A Memoir,Tara Westover,4.7,28729,15,2018,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Stars,4.458320509318077,2,2018,2019
99,99,Educated: A Memoir,Tara Westover,4.7,28729,15,2019,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Stars,4.458320509318077,2,2018,2019
100,100,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,9,2015,Non Fiction,False,False,False,False,False,True,Strong (4.5–4.7),Budget ($1–10),Loved niche,3.7334380270910614,1,2015,2015
101,101,Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Popular but polarizing,4.030235296012244,2,2016,2018
102,102,Fahrenheit 451,Ray Bradbury,4.6,10721,8,2018,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Popular but polarizing,4.030235296012244,2,2016,2018
103,103,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,2016,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Loved niche,3.640481436970422,1,2016,2016
104,104,Fear: Trump in the White House,Bob Woodward,4.4,6042,2,2018,Non Fiction,False,False,False,False,False,False,Solid (4.0–4.4),Budget ($1–10),Developing,3.7811807209372614,1,2018,2018
105,105,Fifty Shades Darker,E L James,4.4,23631,7,2012,Fiction,False,False,False,False,False,False,Solid (4.0–4.4),Budget ($1–10),Popular but polarizing,4.373482100188979,1,2012,2012
106,106,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,11,2012,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Popular but polarizing,4.306682311019055,1,2012,2012
107,107,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2012,Fiction,False,False,True,True,False,False,Below 4.0,Mid-range ($11–20),Popular but polarizing,4.674539662229681,2,2012,2013
108,108,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2013,Fiction,False,False,True,True,False,False,Below 4.0,Mid-range ($11–20),Popular but polarizing,4.674539662229681,2,2012,2013
109,109,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32,2012,Fiction,False,True,False,False,False,False,Strong (4.5–4.7),Premium ($21+),Popular but polarizing,4.145009840142142,1,2012,2012
110,110,Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,6,2018,Non Fiction,False,False,False,False,False,False,Solid (4.0–4.4),Budget ($1–10),Popular but polarizing,4.135990846921625,1,2018,2018
111,111,First 100 Words,Roger Priddy,4.7,17323,4,2014,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Stars,4.2386231053847006,5,2014,2018
112,112,First 100 Words,Roger Priddy,4.7,17323,4,2015,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Stars,4.2386231053847006,5,2014,2018
113,113,First 100 Words,Roger Priddy,4.7,17323,4,2016,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Stars,4.2386231053847006,5,2014,2018
114,114,First 100 Words,Roger Priddy,4.7,17323,4,2017,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Stars,4.2386231053847006,5,2014,2018
115,115,First 100 Words,Roger Priddy,4.7,17323,4,2018,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Stars,4.2386231053847006,5,2014,2018
116,116,Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9,2010,Non Fiction,False,False,False,False,False,False,Solid (4.0–4.4),Budget ($1–10),Developing,3.1917303933628562,1,2010,2010
117,117,Frozen (Little Golden Book),RH Disney,4.7,3642,0,2014,Fiction,True,False,False,False,False,False,Strong (4.5–4.7),Zero / verify,Loved niche,3.5613399414589013,1,2014,2014
118,118,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9,2010,Non Fiction,False,False,False,False,False,False,Solid (4.0–4.4),Budget ($1–10),Developing,3.084576277934331,1,2010,2010
119,119,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2011,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Developing,3.7477224620355085,3,2011,2013
120,120,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2012,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Developing,3.7477224620355085,3,2011,2013
121,121,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2013,Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Budget ($1–10),Developing,3.7477224620355085,3,2011,2013
122,122,George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2010,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Developing,2.61066016308988,1,2010,2010
123,123,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16,2013,Non Fiction,False,False,False,False,False,False,Strong (4.5–4.7),Mid-range ($11–20),Developing,3.681150749932421,1,2013,2013
124,124,Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2015,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Stars,4.1473052380761946,5,2015,2019
125,125,Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2016,Fiction,False,False,False,False,False,False,Exceptional (4.8+),Budget ($1–10),Stars,4.1473052380761946,5,2015,2019
